QID;Type;QID Text;Randomized;Warning;Filtered;Needs adaptation;VID;Type;VID Text;EU;B;C;ES;IT;L;N;P;SL;SW;Responses;Responses EU;Responses B;Responses C;Responses ES;Responses IT;Responses L;Responses N;Responses P;Responses SL;Responses SW
QID01;Core;Is this the name of your organization?;0;0;0;n;q01;Core;Can you please confirm the full name of your organization?;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No, the name of the organization is; 1: Yes, this is the right name";"1: Yes; 2: No";;;;;;;;;
QID01;Core;Is this the name of your organization?;0;0;0;n;q01_02;Core;No, the full name of my organization is:;Included;Included;;;Included;Included;Included;Included;Included;Included;String;;;;;;;;;;
QID02;Core;In what year was your organization founded?;0;0;0;n;q02;Core;In what year was your organization founded?;Included;Included;;;Included;Included;Included;Included;Included;Included;Scale;;;;;;;;;;
QID03;Core;Many organizations have different types and categories of members. We use the term member in a broad sense. For example, members may include regular donors who only make financial contributions as well as active members who are engaged in a wide range of organizational activities. Members can be individuals, firms or other organizations.Does your organization have members in this sense?;0;0;0;n;q03;Core;Does your organization have members in this sense?;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";"1: Yes; 2: No";;;;;;;;;
QID04;Core;Listed below are different types of members. Please indicate for each type of member how many people/ organizations support your organization.;0;0;1;y;q04_02;Core;Corporations or firms;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: None; 2: Up to 10; 3: 11-100; 4: 101-1000; 5: 1001-50000; 6: 50001-100000; 7: 100000-1 million; 8: Over 1 million";;;;;;"1: None; 2: Up to 10; 3: 11-50; 4: 51-100; 5: 101-500; 6: 501-1000; 7: 1001-25000; 8: 25001-50000; 9: 50001-75000; 10: 75001-100000; 11: Over 100000";"1: None; 2: Up to 10; 3: 11-100; 4: 101-1000; 5: 1001-10000; 6: 10001-50000; 7: 50001-100000; 8: 100001-1 million; 9: Over 1 million";"1: None; 2: Up to 10; 3: 11-100; 4: 101-1,000; 5: 1,001-50,000; 6: 50,001-100,000; 7: 100,001 - 1 milion ; 8: 25 001-50000; 9: 50 001- 75 000 ; 10: 75 001-100 000; 11: 100 001-1 000 000; 12: Over 1 million";"1: None; 2: Up to 10; 3: 11-50; 4: 51-100; 5: 101-500; 6: 501-1000; 7: 1001-25000; 8: 25001-50000; 9: 50001-75000; 10: 75001-100000; 11: 100001 or more";
QID04;Core;Listed below are different types of members. Please indicate for each type of member how many people/ organizations support your organization.;0;0;1;y;q04_05;Core;Individuals;Included;Included;;;Included;Included;;Included;Included;Included;"1: None; 2: Up to 10; 3: 11-100; 4: 101-1000; 5: 1001-50000; 6: 50001-100000; 7: 100000-1 million; 8: Over 1 million";;;;;;"1: None; 2: Up to 10; 3: 11-50; 4: 51-100; 5: 101-500; 6: 501-1000; 7: 1001-25000; 8: 25001-50000; 9: 50001-75000; 10: 75001-100000; 11: Over 100000";;"1: None; 2: Up to 10; 3: 11-100; 4: 101-1,000; 5: 1,001-50,000; 6: 50,001-100,000; 7: 100,001 - 1 milion ; 8: 25 001-50000; 9: 50 001- 75 000 ; 10: 75 001-100 000; 11: 100 001-1 000 000; 12: Over 1 million";"1: None; 2: Up to 10; 3: 11-50; 4: 51-100; 5: 101-500; 6: 501-1000; 7: 1001-25000; 8: 25001-50000; 9: 50001-75000; 10: 75001-100000; 11: 100001 or more";
QID04;Core;Listed below are different types of members. Please indicate for each type of member how many people/ organizations support your organization.;0;0;1;y;q04_07;Core;Other organizations;;Included;;;Included;Included;Included;Included;Included;Included;"1: None; 2: Up to 10; 3: 11-100; 4: 101-1000; 5: 1001-50000; 6: 50001-100000; 7: 100000-1 million; 8: Over 1 million";;;;;;"1: None; 2: Up to 10; 3: 11-50; 4: 51-100; 5: 101-500; 6: 501-1000; 7: 1001-25000; 8: 25001-50000; 9: 5001-75000; 10: 75001-100000; 11: Over 100000";"1: None; 2: Up to 10; 3: 11-100; 4: 101-1000; 5: 1001-10000; 6: 10001-50000; 7: 50001-100000; 8: 100001-1 million; 9: Over 1 million";"1: None; 2: Up to 10; 3: 11-100; 4: 101-1,000; 5: 1,001-50,000; 6: 50,001-100,000; 7: 100,001 - 1 milion ; 8: 25 001-50000; 9: 50 001- 75 000 ; 10: 75 001-100 000; 11: 100 001-1 000 000; 12: Over 1 million";"1: None; 2: Up to 10; 3: 11-50; 4: 51-100; 5: 101-500; 6: 501-1000; 7: 1001-25000; 8: 25001-50000; 9: 50001-75000; 10: 75001-100000; 11: 100001 or more";
QID04;Core;Listed below are different types of members. Please indicate for each type of member how many people/ organizations support your organization.;0;0;1;y;q04_08;Core;Goverment entities;;Included;;;;Included;Included;Included;Included;Included;"1: None; 2: Up to 10; 3: 11-100; 4: 101-1000; 5: 1001-50000; 6: 50001-100000; 7: 100000-1 million; 8: Over 1 million";;;;;;"1: None; 2: Up to 10; 3: 11-50; 4: 51-100; 5: 101-500; 6: 501-1000; 7: 1001-25000; 8: 25001-50000; 9: 50001-75000; 10: 75001-100000; 11: Over 100000";"1: None; 2: Up to 10; 3: 11-100; 4: 101-1000; 5: 1001-10000; 6: 10001-50000; 7: 50001-100000; 8: 100001-1 million; 9: Over 1 million";"1: None; 2: Up to 10; 3: 11-100; 4: 101-1,000; 5: 1,001-50,000; 6: 50,001-100,000; 7: 100,001 - 1 milion ; 8: 25 001-50000; 9: 50 001- 75 000 ; 10: 75 001-100 000; 11: 100 001-1 000 000; 12: Over 1 million";"1: None; 2: Up to 10; 3: 11-50; 4: 51-100; 5: 101-500; 6: 501-1000; 7: 1001-25000; 8: 25001-50000; 9: 50001-75000; 10: 75001-100000; 11: 100001 or more";
QID05;Core;How important are members to your organization with regard to the following activities?;1;0;1;n;q05_01;Core;Providing evidence of support from affected members or concerned citizens;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Not at all important; 2: Not very important; 3: Neither important nor unimportant; 4: Important; 5: Very important; 6: Not applicable";;;;;"1: Not important; 2: Neither important nor unimportant; 3: Important or very important";;;;;
QID05;Core;How important are members to your organization with regard to the following activities?;1;0;1;n;q05_02;Core;Helping to influence public policy at the national and/or EU level (e.g. by contacting politicians or civil servants);Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Not at all important; 2: Not very important; 3: Neither important nor unimportant; 4: Important; 5: Very important; 6: Not applicable";;;;;"1: Not important; 2: Neither important nor unimportant; 3: Important or very important";;;;;
